WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಈಕ್ಷಣ 	N	N	5		
ಈಗಡು	D				
ಈಚೆ	D				
ಈಜು	N	N	10		
ಈಜು	V	 	1R	1F	9S
ಈಡಾಡು 	V		1R	1F	7S
ಈಡೇರು  	V		1R	1F	7S
ಈಯು	V	 	1R	1F	9S
ಈಳಿಗೆ 	N	F	8		
ಈಳೆ  	N	N	7		
ಈಶ್ವರ 	N	M	1		
ಉಂಗುರ	N	N	5		
ಉಂತೆ	D				
ಉಂದು	D				
ಉಕ್ಕರಿಸು  	V		1R	1F	7S
ಉಕ್ಷ 	N	M	2		
ಉಗಮ  	N	N	10		
ಉಗಿ	V	 	1R	1F	7S
ಉಗಿ	V	 	2R	2F	9S
ಉಗಿ  	N	N	7		
ಉಗಿಬಗಿ  	V		2R	2F	9S
ಉಗಿಸು	V	 	1R	1F	9S
ಉಗು 	V		1R	1F	7S
ಉಗುರಿಸು 	V		1R	1F	7S
ಉಗುರುಬಿಸಿ 	D				
ಉಗುಳು	V	 	1R	1F	9S
ಉಗ್ಗು	V	 	1R	1F	9S
ಉಗ್ರ 	N	M	1		
ಉಚಾಯಿಸು  	V		1R	1F	7S
ಉಚಿತ 	N	N	5		
ಉಚ್ಚೈ	J				
ಉಚ್ಚೈಃಶ್ರವಸ್ಸಿ	V	 	2R	2F	9S
ಉಚ್ಚೈಃಶ್ರವಸ್ಸು	J				
ಉಜ್ಜಿಸು	V	 	1R	1F	9S
ಉಜ್ಜು	V		1R	1F	9S
ಉಜ್ಜು	V	 	1R	1F	9S
ಉಜ್ವಲ 	J				
ಉಡಾಯಿಸು	V	 	1R	1F	9S
ಉಡಾಯಿಸು  	V		1R	1F	7S
ಉಡು	V	 	1R	1F	5S
ಉಡು	V	 	1R	1F	9S
ಉಡುಗು 	V		1R	1F	7S
ಉಡುಗೊರೆ 	N	N	7		
ಉಣ್ಣು	V	 	1R	1F	7S
ಉಣ್ಣು 	V		1R	1F	8S
ಉತ್ಕಿರ್ಣ	J				
ಉತ್ತಮ	J				
ಉತ್ತಮ 	J				
ಉತ್ತರಿಸು  	V		1R	1F	7S
ಉತ್ತೀರ್ಣ	N	N	10		
ಉತ್ತು	V	 	1R	1F	9S
ಉತ್ತುಂಗ 	J				
ಉತ್ತೇಜನ  	N	N	5		
ಉತ್ಪಲ್ಲ 	J				
ಉತ್ಸುಕ 	J				
ಉದಂತ  	N	N	5		
ಉದಾರ 	J				
ಉದ್ದ	N	N	10		
ಉದ್ದಂಡ	J				
ಉದ್ದಾಮ	J				
ಉದ್ದ್ವೃತ 	J				
ಉದ್ಧತ	J				
