WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಕೊಲ್ಲು	V	 	1R	1F	9S
ಕೊಳೆ	V	 	2R	2F	9S
ಕೊಳ್ಳು	V	 	1R	1F	9S
ಕೋಮಲ	J				
ಕೋಮುವಾರು	J				
ಕೋರಾ	J				
ಕೌಟುಂಬಿಕ  	J				
ಕೌರವ	J				
ಕ್ರಾಂತ 	J				
ಕ್ರಿಸ್ತಪೂರ್ವ	J				
ಕ್ರುದ್ಧ	J				
ಕ್ರೂರ 	J				
ಕ್ಲೀನಾಗು	V	 	1R	1F	9S
ಕ್ಷಮಿಸು	V	 	1R	1F	9S
ಕ್ಷರ 	J				
ಕ್ಷರಿಸು	V	 	1R	1F	9S
ಕ್ಷಾತ್ರ 	J				
ಕ್ಷಿಪ್ರ 	J				
ಕ್ಷೀಣ	J				
ಕ್ಷೀಣಿಸು	V	 	1R	1F	9S
ಕ್ಷೀರ	N	X	5		
ಖಚಿತ 	J				
ಖಡಾಖಂಡಿತ	D				
ಖರ್ಚಾಗು	V	 	1R	1F	8S
ಖಾಸಗಿ 	J				
ಖಾಸಾ 	J				
ಖಿನ್ನ 	J				
ಖುದ್ದು 	J				
ಖೊಟಾ 	J				
ಖ್ಯಾತ 	J				
ಗಂಗೆ	N	F	11		
ಗಂಟಾಗು	V	 	1R	1F	9S
ಗಟಗಟಕುಡಿ	V	 	2R	2F	9S
ಗಟ್ಟಿಮುಟ್ಟು 	J				
ಗಟ್ಟು	V	 	1R	1F	9S
ಗಡುತರ 	J				
ಗಣನೀಯ	J				
ಗತಿಸು	V	 	1R	1F	9S
ಗದ್ಗದಿಸು	V	 	1R	1F	9S
ಗಪ್ 	D				
ಗಬಳಿಸು	V	 	1R	1F	9S
ಗಬ್ಬಾಗು	V	 	1R	1F	9S
ಗಭೀರ	J				
ಗಮನಾರ್ಹ	J				
ಗಮನಿಸು	V	 	1R	1F	9S
ಗರಿಷ್ಟ	J				
ಗರ್ಜಿಸು	V	 	1R	1F	9S
ಗಳಿತ 	J				
ಗಳಿಲನೆ	D				
ಗಳಿಸು	V	 	1R	1F	9S
ಗಾಢ	J				
ಗಾಯಗೊಂಡ	V	 	1R	1F	2S
ಗಾಳಿ	N	X	7		
ಗಾಳು 	J				
ಗಿಟ್ಟು	V	 	1R	1F	9S
ಗುಟುಕು	V	 	1R	1F	9S
ಗುಟುಗುಟಿಸು	V	 	1R	1F	9S
ಗುಟ್ಟು	V	 	1R	1F	9S
ಗುಡುಗು	V	 	1R	1F	9S
ಗುಣಿಸು	V	 	1R	1F	9S
ಗುಯಿ	V	 	1R	1F	9S
ಗುರು	N	M	5		
ಗುರುಗಳೇ	N	X	5		
ಗುರುಗುಟ್ಟು	V	 	1R	1F	9S
ಗುರುತರ 	J				
ಗುರುತಿರು	V	 	1R	1F	9S
ಗುಲ್ಲೆಬಿಸು	V	 	1R	1F	9S
ಗೆದ್ದು	V	 	1R	1F	6S
ಗೆಲ್ಲು	V	 	1R	1F	9S
ಗೊತ್ತಾಗು	V	 	1R	1F	9S
ಗೊಳಿಸು	V	 	1R	1F	9S
ಗೋಜು	V	 	1R	1F	9S
ಗೋಳು	V	 	1R	1F	9S
ಗ್ರಾಂಥಿಕ 	J				
ಘಟಿತ 	J				
ಘಳಿಲನೆ 	J				
ಘೋರ 	J				
ಘೋಷಿಸು	V	 	1R	1F	9S
ಚಂಚಲ 	J				
ಚಂದುಳ್ಳಿ 	J				
ಚಂದ್ರ	N	M	1		
ಚಕಿತ 	J				
ಚಡಪಡಿಸು	V	 	1R	1F	9S
ಚತುರಶ್ರ 	J				
ಚತುರ್ಥ	J				
ಚದುರು	V	 	1R	1F	9S
ಚರಣಕ್ಕೆರಗು	V	 	1R	1F	9S
ಚರಮ 	J				
ಚರ್ಚಾಸ್ಪದ	J				
ಚರ್ವಿತ 	J				
ಚಲಿಸು	V	 	1R	1F	9S
ಚಲುವು	V	 	1R	1F	9S
ಚಲ್ಲು	V	 	1R	1F	9S
ಚಾಚು	V	 	1R	1F	9S
ಚಾಣಿಸು	V	 	1R	1F	9S
ಚಾರಿತ್ರಿಕ 	J				
ಚಾರು 	J				
ಚಾಳಿಸು	V	 	1R	1F	9S
ಚಿಂತಿಸು	V	 	1R	1F	9S
ಚಿಕ್ಕ 	J				
ಚಿಗುರು	V	 	1R	1F	9S
ಚಿಟುಕು	V	 	1R	1F	9S
ಚಿತ್ರವಿಚಿತ್ರ	J				
ಚಿಮಿಕಿಸು	V	 	1R	1F	9S
ಚಿಮುಕು	V	 	1R	1F	9S
ಚಿಮ್ಮು	V	 	1R	1F	9S
ಚಿರ 	J				
ಚಿರಂತನ 	J				
ಚಿವುಟು	V	 	1R	1F	9S
ಚೀರು	V	 	1R	1F	9S
ಚುಂಚರ 	J				
ಚುಚ್ಚು	V	 	1R	1F	9S
ಚುಡಾಯಿಸು	V	 	1R	1F	9S
ಚುನಾಯಿಸು	V	 	1R	1F	9S
ಚುಮುಕು	V	 	1R	1F	9S
ಚೂರು	V	 	1R	1F	9S
ಚೆನ್ನಾಗಿ 	J				
ಚೆಲಿಸು	V	 	1R	1F	9S
ಚೆಲ್ಲಿ	V	 	1R	1F	6S
ಚೆಲ್ಲು	V	 	1R	1F	9S
ಚೇಡು	V	 	1R	1F	9S
ಚೇತರಿಸಿಕೊಳ್ಳು	V	 	1R	1F	2S
ಚೊಕ್ಕ 	J				
ಚ್ಯುತ 	J				
ಛಿನ್ನ 	J				
ಜಂಗಲಿ 	J				
ಜಂಗಿ 	J				
ಜಂಘಾಲ	J				
ಜಗಳವಿಲ್ಲದೆ	D				
ಜಗಿ	V	 	2R	2F	9S
ಜಗ್ಗು	V	 	1R	1F	9S
ಜಜ್ಜರಿತ	J				
ಜಜ್ಜು	V	 	1R	1F	9S
ಜಟಿಲ 	J				
ಜನಿಸು	V	 	1R	1F	9S
ಜನ್ಮಿಸು	V	 	1R	1F	9S
ಜನ್ಯ 	J				
ಜರ್ಜರ 	J				
ಜರ್ಜರಿತ 	J				
ಜಲಕ್ಕನೆ 	D				
ಜವಾರಿ 	J				
ಜಾಗತಿಕ 	J				
ಜಾಡಿಸು	V	 	1R	1F	9S
ಜಾಣಿಲಿ 	J				
ಜಾತಿಯ	N	X	8		
ಜಾನುದಾಘ್ನ 	D				
ಜಾರಿಸು	V	 	1R	1F	9S
ಜಾರು	V	 	1R	1F	9S
ಜಿಗಿ	V	 	2R	2F	9S
ಜಿಗಿಸು	V	 	1R	1F	9S
ಜಿನುಗು	V	 	1R	1F	9S
ಜೀವಂತ	J				
ಜೀವಿಸು	V	 	1R	1F	9S
ಜೂಡಾಡು	V	 	1R	1F	9S
ಜೊತೆಗೂಡ	V	 	1R	1F	9S
ಜೊತೆಸಿಗು	V	 	1R	1F	9S
ಜೋಡು	V	 	1R	1F	9S
ಜೋರು	V	 	1R	1F	9S
ಜೋಲು	V	 	1R	1F	9S
ಜೋವು	V	 	1R	1F	9S
ಜ್ಞಾನಪಡೆ	V	 	2R	2F	9S
ಜ್ಯ್ನಾತ	D				
ಠಕ್ಕಿಸು	V	 	1R	1F	9S
ತಂದೆ	N	M	12		
ತಕರು	V	 	1R	1F	9S
ತಗಲು	V	 	1R	1F	9S
ತಗುಲು	V	 	1R	1F	9S
ತಗ್ಗಿಸು	V	 	1R	1F	9S
ತಗ್ಗು	V	 	1R	1F	9S
ತಟ್ಟು	V	 	1R	1F	9S
ತಡೆ	V	 	2R	2F	9S
ತಡೆದು	V	 	2R	2F	9S
ತಣಿಸು	V	 	1R	1F	9S
ತಣ್ಣಗೆ	J				
ತಥಾಸ್ತು 	J				
ತನಿ	V	 	2R	2F	9S
ತನ್ನ	N	X	1		
ತನ್ಮಯ 	J				
ತಪಸ್ಸು	V	 	1R	1F	9S
ತಪ್ತ 	J				
ತಪ್ಪಿಸು	V	 	1R	1F	9S
ತಪ್ಪು	V	 	1R	1F	9S
ತಬ್ಬಿಬ್ಬು	V	 	1R	1F	9S
ತಬ್ಬು	V	 	1R	1F	9S
ತರಿಸು	V	 	1R	1F	9S
ತರು	V	 	1R	1F	1S
ತರು	V	 	1R	1F	9S
ತಲುಪು	V	 	1R	1F	9S
ತಲೆಸುತ್ತು	V	 	1R	1F	9S
ತಳಿಸು	V	 	1R	1F	9S
ತಳ್ಳಿಸು	V	 	1R	1F	9S
ತಳ್ಳು	V	 	1R	1F	9S
ತಾಕಿಸು	V	 	1R	1F	9S
ತಾಗು	V	 	1R	1F	9S
ತಾಜಾ 	J				
ತಾತ್ಕಾಲಿಕ 	J				
ತಾಯಿ	N	F	9		
ತಾಳು	V	 	1R	1F	9S
ತಿಕ್ಕು	V	 	1R	1F	9S
ತಿಣುಕು	V	 	1R	1F	9S
ತಿನ್ನು	V	 	1R	1F	1S
ತಿನ್ನು	V	 	1R	1F	9S
ತಿರುಗು	V	 	1R	1F	9S
ತಿರುವು	V	 	1R	1F	9S
ತಿಳಿ	V	 	1R	1F	9S
ತಿಳಿ	V	 	2R	2F	9S
ತಿಳಿಯು	V	 	1R	1F	9S
ತಿಳಿಸು	V	 	1R	1F	9S
ತಿಳಿಹೇಳು	V	 	1R	1F	9S
ತೀಡು	V	 	1R	1F	9S
ತೀರಿಸು	V	 	1R	1F	9S
ತೀರು	V	 	1R	1F	9S
ತುಂಗ	J				
ತುಂಬ 	D				
ತುಂಬು	V	 	1R	1F	9S
ತುಮುಲ 	J				
ತುರಿ	V	 	2R	2F	9S
ತುರಿದು	V	 	2R	2F	6S
ತುರಿಸು	V	 	1R	1F	9S
ತುರುಕು	V	 	1R	1F	9S
ತುರುಗು	V	 	1R	1F	9S
ತುಲ್ಯ	J				
ತುಳಿ	V	 	2R	2F	9S
ತುಳಿದು	V	 	2R	2F	7S
ತುಳಿಸು	V	 	1R	1F	9S
ತುಳುಕು	V	 	1R	1F	9S
ತುಸ 	J				
ತೂಗು	V	 	1R	1F	9S
ತೂರಾಡು	V	 	1R	1F	9S
ತೂರು	V	 	1R	1F	7S
ತೂರು	V	 	1R	1F	9S
ತೆಕ್ಕನೆ 	D				
ತೆಗಿಸು	V	 	1R	1F	9S
ತೆಗೆ	V	 	2R	2F	9S
ತೆಗೆಸು	V	 	1R	1F	9S
ತೆತ್ತು	V	 	1R	1F	4S
ತೆರಳು	V	 	1R	1F	9S
ತೆರು	V	 	2R	2F	9S
ತೆರೆ	V	 	2R	2F	9S
ತೆರೆದಿಡು	V	 	1R	1F	9S
ತೆರೆದು	V	 	2R	2F	7S
ತೆರೆಸು	V	 	1R	1F	9S
ತೆವಳು	V	 	1R	1F	9S
ತೇಲಿಸು	V	 	1R	1F	9S
ತೊಡಗು	V	 	1R	1F	9S
ತೊಡು	V	 	1R	1F	5S
ತೊಡು	V	 	2R	2F	7S
ತೊಡುಗು	V	 	1R	1F	9S
ತೊದಲು	V	 	1R	1F	9S
ತೊಲಗು	V	 	1R	1F	9S
ತೊಳೆ	V	 	1R	1F	9S
ತೋಚು	V	 	1R	1F	9S
ತೋಡು	V	 	1R	1F	9S
ತೋಯು	V	 	1R	1F	9S
ತೋರ 	J				
ತೋರು	V	 	1R	1F	9S
ತ್ಯಕ್ತ 	J				
ತ್ಯಜಿಸು	V	 	1R	1F	9S
ತ್ಯಾಜ್ಯ	J				
ತ್ರಸ್ತ 	J				
ತ್ವರಿತ	J				
ಥಟ್ಟನೆ 	J				
ಥರಗುಟ್ಟು	V	 	1R	1F	9S
ದಂತುರ 	J				
ದಗ್ದ 	J				
ದಣಿ	V	 	2R	2F	9S
ದಣಿದು	V	 	2R	2F	9S
ದತ್ತ 	J				
ದನಿ	V	 	2R	2F	9S
ದನು	A				
ದಬಾಯಿಸು	V	 	1R	1F	9S
ದಬ್ಬು	V	 	1R	1F	9S
ದಶಮ 	J				
ದಹ್ಯ 	J				
ದಾಖಲಿಸು	V	 	1R	1F	9S
ದಾಟು	V	 	1R	1F	9S
ದಾನವ	N	M	1		
ದಾನವಶ್ರೇಷ್ಠ	J				
ದಿಕ್ಕಾಪಾಲು 	D				
ದಿನ	N	X	5		
ದುಃಖ	J				
ದುಃಖಿಸು	V	 	1R	1F	9S
ದುಡಿ	V	 	2R	2F	9S
ದುಡಿದು	V	 	2R	2F	7S
ದುರ್ಲಭ 	J				
ದುಸ್ತರ	J				
ದುಸ್ಸಹ 	J				
ದೂಕು	V	 	1R	1F	9S
ದೂಕು	V	 	1R	2F	10S
ದೂಡು	V	 	1R	1F	9S
ದೂಷಿಸು	V	 	1R	1F	9S
ದೃಷ್ಟ 	D				
ದೇವ	N	M	1		
ದೇವತೆಗಳು	N	X	3		
ದೈತ್ಯಗುರು	N	M	1		
ದೈನಂದಿನ	J				
ದೈವಿಕ 	J				
ದೈಹಿಕ 	J				
ದೊಡ್ಡವನಾದ	A				
ದೊರಕು	V	 	1R	1F	9S
ದೊರೆ	V	 	2R	2F	9S
ದೋಚು	V	 	1R	1F	9S
ದೋಡ್ಡ 	J				
ದ್ವಿತೀಯ 	J				
ದ್ವೇಷ	N	X	5		
ಧರಿಸು	V	 	1R	1F	9S
ಧಾರ್ಮಿಕ	J				
ಧುಮುಕು	V	 	1R	1F	9S
ಧೂಕಿಸು	V	 	1R	1F	9S
ಧೃಡ 	J				
ನಂತರ	J				
ನಂಬು	V	 	1R	1F	9S
ನಕ್ಕು	V	 	1R	1F	3S
ನಗಿಸು	V	 	1R	1F	9S
ನಗು	V	 	1R	1F	3S
ನಡಿಸು	V	 	1R	1F	9S
ನಡು	V	 	1R	1F	9S
ನಡುಗು	V	 	1R	1F	9S
ನಡೆ	V	 	1R	2F	9S
ನಡೆ	V	 	2R	2F	9S
ನಡೆದು	V	 	2R	2F	9S
ನಡೆಸು	V	 	1R	1F	9S
ನತ	J				
ನನ್ನ	N	X	2		
ನನ್ನಲ್ಲಿ	N	X	8		
ನಮಿಸು	V	 	1R	1F	9S
ನಮುಚಿ	N	X	7		
ನಮುಚಿ	N	X	12		
ನಮುಚಿಯನ್ನು	D				
ನಮುಚಿಯೇ	N	X	7		
ನಮ್ರ 	J				
ನರಳು	V	 	1R	1F	9S
ನರ್ತಿಸು	V	 	1R	1F	9S
ನಲಿ	V	 	2R	2F	9S
ನಲ್ 	J				
ನಶ್ಚರ 	J				
ನಸು 	J				
ನಾಚಿಸು	V	 	1R	1F	9S
ನಾಚು	V	 	1R	1F	9S
ನಾಟಿಸು	V	 	1R	1F	9S
ನಾಟು	V	 	1R	1F	9S
ನಾಡೆ 	J				
ನಾದಿಸಿಸು	V	 	1R	1F	9S
ನಾದು	V	 	1R	1F	9S
ನಾನಾ 	J				
ನಾನು	N	M	1		
ನಾನೆಷ್ಟು	N	X	6		
ನಾಮಾಂಕಿತ 	J				
ನಾರಕ 	J				
ನಿಂದಿಸು	V	 	1R	1F	9S
ನಿಃಶ್ವಾಸಿ	V	 	1R	1F	9S
ನಿಕ್ಷಿಪ್ತ 	J				
ನಿಖಿಲ 	J				
ನಿಡು	V	 	1R	1F	9S
ನಿತಾಂತ 	J				
ನಿನಗೆ	A				
ನಿನಗೇ	A				
ನಿಬಿಡ 	J				
ನಿಭಾಯಸು	V	 	1R	1F	9S
ನಿಭೃತ 	J				
ನಿಮಗ್ನ 	J				
ನಿಮ್ನ	J				
ನಿಯತ 	J				
ನಿಯುಕ್ತ 	J				
ನಿರಂಕುಶ 	J				
ನಿರಂತರ 	J				
ನಿರತ 	J				
ನಿರರ್ಗಲ 	J				
ನಿರರ್ಥಕ	J				
ನಿರವದ್ಯ 	J				
ನಿರಸ್ತ	J				
ನಿರಾಕುಲ 	J				
ನಿರಾತಂಕ 	J				
ನಿರುಪಮ 	J				
ನಿರ್ಜೀವ 	J				
ನಿರ್ಣಿತ 	J				
ನಿರ್ದೋಷ 	J				
ನಿರ್ಧಿಷ್ಟ 	J				
ನಿರ್ಭರ 	J				
ನಿರ್ಮಿಸು	V	 	1R	1F	9S
ನಿರ್ಲಿಪ್ತ 	J				
ನಿರ್ವಿಘ್ನ	J				
ನಿಲುಕು	V	 	1R	1F	9S
ನಿಲ್ಲು	V	 	1R	1F	9S
ನಿವ್ವಳ	J				
ನಿಶಿತ	J				
ನಿಶ್ಚಲ	J				
ನಿಷಣ್ಣ	J				
ನಿಷಿದ್ಧ	J				
ನಿಷೇದಿಸು	V	 	1R	1F	9S
ನಿಷ್ಕಪಟ	J				
ನಿಷ್ಕರಣ	J				
ನಿಷ್ಕಾರಣ	J				
ನಿಷ್ಫಲ	J				
ನಿಸ್ಸಂಶಯ	J				
ನಿಹಿತ	J				
ನೀಡಿ	V	 	1R	1F	9S
ನೀಡು	V	 	1R	1F	7S
ನೀಡು	V	 	1R	1F	9S
ನೀಡುಂ	J				
ನೀನೇ	A				
ನೀರಾಕು	V	 	1R	1F	9S
ನೀರೂರು	V	 	1R	1F	9S
ನೀರ್ನೆರಂ	J				
ನುಂಗು	V	 	1R	1F	9S
ನುಡಿಸು	V	 	1R	1F	9S
ನುತ	J				
ನುರಿಸು	V	 	1R	1F	9S
ನುಲಿ	V	 	2R	2F	9S
ನುಲಿದು	V	 	2R	2F	7S
ನೂಕಿ	V	 	1R	1F	9S
ನೂಕಿಸು	V	 	1R	1F	9S
ನೂಕು	V	 	1R	1F	7S
ನೂಕು	V	 	1R	1F	9S
ನೂರು	A				
ನೂಲು	V	 	1R	1F	9S
ನೆಕ್ಕು	V	 	1R	1F	9S
ನೆಗೆ	V	 	2R	2F	9S
ನೆಗೆಸು	V	 	1R	1F	9S
ನೆಚ್ಚು	V	 	1R	1F	9S
ನೆಡಿಸು	V	 	1R	1F	9S
ನೆಡು	V	 	1R	1F	5S
ನೆಡು	V	 	1R	1F	9S
ನೆಡೆ	V	 	2R	2F	9S
ನೆಡೆಸು	V	 	1R	1F	9S
ನೆನಸು	V	 	1R	1F	9S
ನೆನೆ	V	 	2R	2F	9S
ನೆನೆಸು	V	 	1R	1F	9S
ನೆರೆ	V	 	2R	2F	4S
ನೆಲಸು	V	 	1R	1F	9S
ನೆಲೆ	V	 	2R	2F	9S
ನೇಯ	J				
ನೇಯು	V	 	1R	1F	9S
ನೈಷ್ಠಿಕ	J				
ನೈಸರ್ಗಿಕ	J				
ನೊರೆ	N	X	12		
ನೋಡು	V	 	1R	1F	9S
ನೋಯು	V	 	1R	1F	9S
ಪಡಿಸು	V	 	1R	1F	9S
ಪಡು	V	 	1R	1F	5S
ಪಡು	V	 	1R	1F	7S
ಪಡೆ	V	 	2R	2F	9S
ಪಡೆದು	V	 	2R	2F	9S
ಪದವಿ	N	X	8		
ಪರಚು	V	 	1R	1F	9S
ಪರಿತ್ಯಜಿಸು	V	 	1R	1F	9S
ಪರಿವರ್ತಿಸು	V	 	1R	1F	9S
ಪರಿಶೋಧಿಸು	V	 	1R	1F	9S
ಪರೀಕ್ಷಿಸು	V	 	1R	1F	9S
ಪಳಗಿಸು	V	 	1R	1F	9S
ಪಳಗು	V	 	1R	1F	9S
ಪವಣಿಸು	V	 	1R	1F	9S
ಪವಳಿಸು	V	 	1R	1F	9S
ಪಸರಿಸು	V	 	1R	1F	9S
ಪಾಲಿಗೆ	J				
ಪಾಲಿಸು	V	 	1R	1F	9S
ಪಾಲು	V	 	1R	1F	9S
ಪಾಲ್ಗೊಳ್ಳು	V	 	1R	1F	2S
ಪಾಸಾಗು	V	 	1R	1F	9S
ಪೀಡಿಸು	V	 	1R	1F	9S
ಪುಟನೆಗೆಸು	V	 	1R	1F	9S
ಪುಟಿಸು	V	 	1R	1F	9S
ಪುನರುಚ್ಚರಿಸು	V	 	1R	1F	9S
ಪೂಜಿಸು	V	 	1R	1F	9S
ಪೂರೈಸು	V	 	1R	1F	9S
ಪೆರಚು	V	 	1R	1F	9S
ಪೇಚಾಡು	V	 	1R	1F	9S
ಪೇರಾಗು	V	 	1R	1F	9S
ಪೋಣಿಸು	V	 	1R	1F	9S
ಪ್ರಕಟಿಸು	V	 	1R	1F	9S
ಪ್ರಕಾಶಿಸು	V	 	1R	1F	9S
ಪ್ರಚೋದಿಸು	V	 	1R	1F	9S
ಪ್ರಜ್ವಲಿಸು	V	 	1R	1F	9S
ಪ್ರತಿಬಿಂಬಿಸು	V	 	1R	1F	9S
ಪ್ರತಿಭಟಿಸು	V	 	1R	1F	9S
ಪ್ರತಿಭಾ	N	F	3		
ಪ್ರತಿಸ್ಥಾಪಿಸು	V	 	1R	1F	9S
ಪ್ರತಿಸ್ಪರ್ಧಿಸು	V	 	1R	1F	9S
ಪ್ರತ್ಯಕ್ಷನಾಗು	V	 	1R	1F	6S
ಪ್ರದರ್ಶಿಸು	V	 	1R	1F	9S
ಪ್ರಬಲ	J				
ಪ್ರಯೋಗಿಸು	V	 	1R	1F	9S
ಪ್ರಲಾಪಿಸು	V	 	1R	1F	9S
ಪ್ರಸ್ತಾಪಿಸು	V	 	1R	1F	9S
ಪ್ರಾಕಾಶಿಸು	V	 	1R	1F	9S
ಪ್ರಾರಂಭಿಸು	V	 	1R	1F	9S
ಪ್ರಾರ್ಥನಿಸು	V	 	1R	1F	9S
ಪ್ರಾರ್ಥಿಸು	V	 	1R	1F	9S
ಪ್ರೀತಿಸು	V	 	1R	1F	9S
ಪ್ರೇಮಿಸು	V	 	1R	1F	9S
ಪ್ರೇರೇಪಿಸು	V	 	1R	1F	9S
ಪ್ರೋಕ್ಷಿಸು	V	 	1R	1F	9S
ಪ್ರೋತ್ಸಾಹಿಸು	V	 	1R	1F	9S
ಫಲಕೊಡು	V	 	1R	1F	5S
ಫಲಹೊಂದು	V	 	1R	1F	9S
ಬಂದ	V	 	1R	1F	9S
ಬಂದವು	A				
ಬಂದಾಗ	D				
ಬಂದಾಗು	V	 	1R	1F	9S
ಬಂದಿತು	V	 	1R	1F	9S
ಬಗ್ಗಿ	V	 	1R	1F	9S
ಬಗ್ಗು	V	 	1R	1F	9S
ಬಚ್ಚಿಸು	V	 	1R	1F	9S
ಬಜಾಯಿಸು	V	 	1R	1F	9S
ಬಡಬಡಿಸು	V	 	1R	1F	9S
ಬಡಿ	V	 	2R	2F	9S
ಬಡಿದು	V	 	2R	2F	9S
ಬಡಿಯು	V	 	1R	1F	9S
ಬಡಿಸು	V	 	1R	1F	9S
ಬಡೆ	V	 	2R	2F	9S
ಬತ್ತಿಸು	V	 	1R	1F	9S
ಬದಲಿಸು	V	 	1R	1F	9S
ಬದುಕಿಸು	V	 	1R	1F	9S
ಬದುಕು	V	 	1R	1F	9S
ಬಯಸು	V	 	1R	1F	9S
ಬರಿಯ	V	 	2R	2F	9S
ಬರು	V	 	1R	1F	1S
ಬರೆ	V	 	1R	1F	9S
ಬರೆದು	V	 	2R	2F	9S
ಬರೆಸು	V	 	1R	1F	9S
ಬಲದಿಂದ	J				
ಬಲಿಷ್ಠನಾಗು	V	 	1R	1F	9S
ಬಳಸು	V	 	1R	1F	9S
ಬಳಿ	V	 	2R	2F	9S
ಬಳುಕಿಸು	V	 	1R	1F	9S
ಬಸಿದು	V	 	2R	2F	9S
ಬಹುಕಾಲ	N	X	5		
ಬಾಗು	V	 	1R	1F	9S
ಬಾಚು	V	 	1R	1F	9S
ಬಾಜಿಕಟ್ಟು	V	 	1R	1F	9S
ಬಾರಿ	A				
ಬಾರಿಸು	V	 	1R	1F	9S
ಬಿಕ್ಕಳಿಸು	V	 	1R	1F	9S
ಬಿಕ್ಕು	V	 	1R	1F	9S
ಬಿಗಿ	V	 	2R	2F	9S
ಬಿಚ್ಚು	V	 	1R	1F	9S
ಬಿಚ್ಚುಸು	V	 	1R	1F	9S
ಬಿಟ್ಟ	V	 	1R	1F	5S
ಬಿಟ್ಟಿಬಿಡು	V	 	1R	1F	5S
ಬಿಡಿಸು	V	 	1R	1F	9S
ಬಿಡು	V	 	1R	1F	5S
ಬಿಡುಸು	V	 	1R	1F	9S
ಬಿತ್ತಿಸು	V	 	1R	1F	9S
ಬಿತ್ತು	V	 	1R	1F	9S
ಬಿದ್ದು	V	 	1R	1F	6S
ಬಿರಿ	V	 	2R	2F	9S
ಬಿರಿದು	V	 	2R	2F	6S
ಬಿರುಕು	V	 	1R	1F	9S
ಬಿರುನುಡಿ	V	 	2R	2F	9S
ಬಿರುಸಾಗು	V	 	1R	1F	9S
ಬಿಳು	V	 	1R	1F	9S
ಬಿಸಾಕು	V	 	1R	1F	9S
ಬಿಸಾಡು	V	 	1R	1F	9S
ಬಿಸಿಮಾಡು	V	 	1R	1F	9S
ಬೀಗು	V	 	1R	1F	9S
ಬೀರು	V	 	1R	1F	9S
ಬೀಳಿಸು	V	 	1R	1F	9S
ಬೀಳು	V	 	1R	1F	6S
ಬೀಸು	V	 	1R	1F	9S
ಬುಡಮೇಲಾಗು	V	 	1R	1F	9S
ಬುಸುಗುಟ್ಟು	V	 	1R	1F	9S
ಬೃಹ	N	X	5		
ಬೃಹಸ್ಪತಿ	N	X	7		
ಬೆಂಕಿಹಚ್ಚು	V	 	1R	1F	9S
ಬೆಂದು	V	 	1R	1F	1S
ಬೆಂಬಲಿಸು	V	 	1R	1F	9S
ಬೆಚ್ಚಿ	V	 	1R	1F	9S
ಬೆಚ್ಚಿಬೀಳಿಸು	V	 	1R	1F	9S
ಬೆಚ್ಚಿಬೀಳು	V	 	1R	1F	6S
ಬೆಚ್ಚು	V	 	1R	1F	7S
ಬೆದರಿಸು	V	 	1R	1F	9S
ಬೆದರು	V	 	1R	1F	9S
ಬೆರಗಾಗು	V	 	1R	1F	9S
ಬೆರಗು	V	 	1R	1F	9S
ಬೆರಸು	V	 	1R	1F	9S
ಬೆರಿ	V	 	2R	2F	9S
ಬೆರೆ	V	 	2R	2F	9S
ಬೆರೆತಿದ್ದ	V	 	1R	1F	6S
ಬೆರೆಸು	V	 	1R	1F	9S
ಬೆಳಗು	V	 	1R	1F	9S
ಬೆಳೆ	V	 	2R	2F	9S
ಬೆಳೆದು	V	 	2R	2F	9S
ಬೆಳೆಯಿತು	D				
ಬೆಳೆಸು	V	 	1R	1F	9S
ಬೇಡಿಕೊಂಡು	V	 	1R	1F	2S
ಬೇಡಿದ	V	 	1R	1F	9S
ಬೇಡಿದವನಿಗೆ	J				
ಬೇಡಿದವರಿಗೆ	A				
ಬೇಡಿದವರಿಗೆ	D				
ಬೇಡು	V	 	1R	1F	9S
ಬೇಯಿಸು	V	 	1R	1F	9S
ಬೇರ್ಪಡಿಸು	V	 	1R	1F	9S
ಬೈದು	V	 	2R	2F	6S
ಬೈಯು	V	 	1R	1F	9S
ಬೋಧಿಸು	V	 	1R	1F	9S
ಬೋಳಿಸು	V	 	1R	1F	9S
ಬ್ರಹ್ಮ	N	M	1		
ಬ್ರಹ್ಮನ	N	X	1		
ಭರಿಸು	V	 	1R	1F	9S
ಭಾವಾಭಿವ್ಯಂಜಿಸು	V	 	1R	1F	9S
ಭಾವಾಭಿವ್ಯಕ್ತಿಸು	V	 	1R	1F	9S
ಭಾಷ್ಪೀಕರಿಸು	V	 	1R	1F	9S
ಭೇದಿಸು	V	 	1R	1F	9S
ಭೋಗಿಸು	V	 	1R	1F	9S
ಮಂಕಾಗು	V	 	1R	1F	9S
ಮಂಜಾಗು	V	 	1R	1F	9S
ಮಂಥಿಸು	V	 	1R	1F	9S
ಮಗ	N	M	1		
ಮಡಿಚು	V	 	1R	1F	9S
ಮಡಿಸು	V	 	1R	1F	9S
ಮಣಿ	V	 	2R	2F	9S
ಮಣಿಸು	V	 	1R	1F	9S
ಮತ್ತನಾಗು	V	 	1R	1F	9S
ಮತ್ತು	A				
ಮತ್ತೆ	A				
ಮತ್ತೇರು	V	 	1R	1F	9S
ಮಥಿಸು	V	 	1R	1F	9S
ಮನರಂಜಿಸು	V	 	1R	1F	9S
