TOKEN_NO	TOKEN	PREFIX	STEM	SUFFIX	STATUS
42	ಚೌಕಬಾರ	-	ಚೌಕಬಾ	ರ	Root word is not in the lexicon
43	ಆಡೋದಿಕೆ	-	ಆಡೋದಿಕೆ	-	Root word is not in the lexicon
44	ಕೊರೆದಿದ್ದ	-	ಕೊರೆದಿದ್	ದ	Root word is not in the lexicon
44	ಕೊರೆದಿದ್ದ	-	ಕೊರೆದಿದ್	ದ	Root word is not in the lexicon
44	ಕೊರೆದಿದ್ದ	-	ಕೊರೆದಿದ್	ದ	Root word is not in the lexicon
44	ಕೊರೆದಿದ್ದ	-	ಕೊರೆದಿದ್	ದ	Root word is not in the lexicon
45	ಆಟದಪಟ್ಟೆ	-	ಆಟದಪಟ್ಟೆ	-	Root word is not in the lexicon
46	ಬಿಕೋ	-	ಬಿಕೋ	-	Root word is not in the lexicon
47	ಅನುತದೆ	ಅನು	ತದೆ	-	Root word is not in the lexicon
47	ಅನುತದೆ	ಅನು	ತದೆ	-	Root word is not in the lexicon
49	ಹೋದ	-	ಹೋ	ದ	Root word is not in the lexicon
49	ಹೋದ	-	ಹೋ	ದ	Root word is not in the lexicon
49	ಹೋದ	-	ಹೋ	ದ	Root word is not in the lexicon
49	ಹೋದ	-	ಹೋ	ದ	Root word is not in the lexicon
50	ಕಸ್ತೂರಿಗೆ	-	ಕಸ್ತೂರಿ	ಗೆ	Root word is not in the lexicon
50	ಕಸ್ತೂರಿಗೆ	-	ಕಸ್ತೂ	ರಿಗೆ	Root word is not in the lexicon
50	ಕಸ್ತೂರಿಗೆ	-	ಕಸ್ತೂ	ರಿಗೆ	Root word is not in the lexicon
51	ಅದೆಲ್ಲ	ಅ	ದೆಲ್ಲ	-	Root word is not in the lexicon
51	ಅದೆಲ್ಲ	ಅ	ದೆಲ್ಲ	-	Root word is not in the lexicon
52	ಸೈಸೋದಿಕಾಗನಿಲ	-	ಸೈಸೋದಿಕಾಗನಿಲ	-	Root word is not in the lexicon
53	ತಾಳಲಾರದೆ	-	ತಾಳಲಾರದೆ	-	Root word is not in the lexicon
54	ಅಂಗಿಯ	ಅ	ಂಗಿಯ	-	Root word is not in the lexicon
54	ಅಂಗಿಯ	-	ಅಂಗಿ	ಯ	Root word is not in the lexicon
54	ಅಂಗಿಯ	-	ಅಂಗಿ	ಯ	Root word is not in the lexicon
54	ಅಂಗಿಯ	ಅ	ಂಗಿ	ಯ	Root word is not in the lexicon
55	ಮಕಕ್ಕೆ	-	ಮಕ	ಕ್ಕೆ	Root word is not in the lexicon
55	ಮಕಕ್ಕೆ	-	ಮಕ	ಕ್ಕೆ	Root word is not in the lexicon
55	ಮಕಕ್ಕೆ	-	ಮಕ	ಕ್ಕೆ	Root word is not in the lexicon
56	ಒತಿಕೊಂಡ	-	ಒತಿಕೊಂಡ	-	Root word is not in the lexicon
58	ದೇಹದ	-	ದೇಹ	ದ	Root word is not in the lexicon
58	ದೇಹದ	-	ದೇಹ	ದ	Root word is not in the lexicon
58	ದೇಹದ	-	ದೇಹ	ದ	Root word is not in the lexicon
58	ದೇಹದ	-	ದೇಹ	ದ	Root word is not in the lexicon
59	ವಾಸನೆ	-	ವಾಸ	ನೆ	Root word is not in the lexicon
59	ವಾಸನೆ	-	ವಾಸ	ನೆ	Root word is not in the lexicon
60	ಮೂಗಿಗೆ	-	ಮೂಗಿ	ಗೆ	Root word is not in the lexicon
60	ಮೂಗಿಗೆ	-	ಮೂಗಿ	ಗೆ	Root word is not in the lexicon
61	ಇನ್ನೋಟು	-	ಇನ್ನೋಟು	-	Root word is not in the lexicon
62	ಒತಿಕೊಂಡು	-	ಒತಿಕೊಂಡು	-	Root word is not in the lexicon
64	ಬೆವರು	-	ಬೆ	ವರು	Root word is not in the lexicon
64	ಬೆವರು	-	ಬೆ	ವರು	Root word is not in the lexicon
64	ಬೆವರು	-	ಬೆವ	ರು	Root word is not in the lexicon
64	ಬೆವರು	-	ಬೆವ	ರು	Root word is not in the lexicon
68	ಮೆಣಸಿನಕಾಯ	-	ಮೆಣಸಿನಕಾ	ಯ	Root word is not in the lexicon
68	ಮೆಣಸಿನಕಾಯ	-	ಮೆಣಸಿನಕಾ	ಯ	Root word is not in the lexicon
68	ಮೆಣಸಿನಕಾಯ	-	ಮೆಣಸಿನಕಾ	ಯ	Root word is not in the lexicon
69	ಕಿವುಚಿ	-	ಕಿವುಚಿ	-	Root word is not in the lexicon
70	ಹೀರಿದಂಗಾಯಿತು	-	ಹೀರಿದಂಗಾ	ಯಿತು	Root word is not in the lexicon
70	ಹೀರಿದಂಗಾಯಿತು	-	ಹೀರಿದಂಗಾ	ಯಿತು	Root word is not in the lexicon
70	ಹೀರಿದಂಗಾಯಿತು	-	ಹೀರಿದಂಗಾ	ಯಿತು	Root word is not in the lexicon
71	ಮೈ	-	ಮೈ	-	Root word is not in the lexicon
72	ಮನಸಿಗೆ	-	ಮನಸಿ	ಗೆ	Root word is not in the lexicon
72	ಮನಸಿಗೆ	-	ಮನಸಿ	ಗೆ	Root word is not in the lexicon
73	ಕಿಚ್ಚು	-	ಕಿಚ್ಚು	-	Root word is not in the lexicon
74	ಹಚ್ಚಿದಂಗಾಗಿ	-	ಹಚ್ಚಿದಂಗಾಗಿ	-	Root word is not in the lexicon
75	ಬೀದಿಗೆ	-	ಬೀದಿ	ಗೆ	Root word is not in the lexicon
75	ಬೀದಿಗೆ	-	ಬೀದಿ	ಗೆ	Root word is not in the lexicon
76	ಮೋಡದ	-	ಮೋಡ	ದ	Root word is not in the lexicon
76	ಮೋಡದ	-	ಮೋಡ	ದ	Root word is not in the lexicon
76	ಮೋಡದ	-	ಮೋಡ	ದ	Root word is not in the lexicon
76	ಮೋಡದ	-	ಮೋಡ	ದ	Root word is not in the lexicon
77	ಮರೆಯಲಿ	-	ಮರೆಯಲಿ	-	Root word is not in the lexicon
78	ಕಾಣನಿಲ	-	ಕಾಣನಿಲ	-	Root word is not in the lexicon
79	ಗೂಡ	-	ಗೂಡ	-	Root word is not in the lexicon
